ID,Morph,Body length (mm),N1,H1(mm ),L1 (mm ),W2(mm ),H 2 (mm ),L2(mm ),W3 (mm ),H3  (mm ),L3 (mm ),W4 (mm ),H4  (mm ),L4 (mm ),W5 (mm ),H5  (mm ),L5 (mm ),W6 (mm ),H6  (mm ),L6 (mm ),Eye D1 , Eye D2 ,Genetic trait,Maturation,Age,Sex,Habitat,Head size
TI130186,Abyssal,69,5,0.69,0.38,0.38,0.54,0.46,0.54,1,1.08,1,0.85,1.31,1.15,0.77,1.15,0.46,0.46,0.92,1.68,2.38,Hybrid,Immature,4,Female,Deep profundal,3527.32717
TI130298,Abyssal,70,5,0.54,0.38,0.46,0.62,0.54,0.54,0.85,1.08,0.92,0.77,1.23,1.08,0.69,1.38,0.62,0.46,0.77,1.8,2.32,Hybrid,Immature,3,Male,Deep profundal,3742.88562
TI130299,Abyssal,73,5,0.77,0.38,0.62,0.69,0.77,0.62,0.77,0.85,1,0.92,1.15,1.38,0.69,1.31,0.62,0.38,0.77,1.82,2.42,Hybrid,Immature,3,Male,Deep profundal,3141.79601
TI130291,Piscivore,158,13,1.77,1,0.77,1.31,1.15,1,1.92,1.85,2.15,2.31,3.38,1.92,1.85,2.69,1.08,0.92,1.77,7.27,8.93,Hybrid,Mature,5,Male,Profundal,4897.78305
TI130096,Piscivore,146,13,1.69,1,0.62,1.08,0.85,1,1.62,2.08,2.08,2.46,2.85,1.69,1.69,2.46,0.92,0.92,1.54,7.6,8.8,Pure,Immature,5,Female,Profundal,4834.85005
TI130187,Piscivore,142,14,1.23,1.08,0.69,1,0.69,0.85,1.38,1.69,1.62,1.85,2.15,1.54,1.38,2.15,0.92,0.69,1.23,7,7.31,Pure,Immature,4,Male,Profundal,2643.89758
TI130188,Piscivore,94,12,1.15,0.92,0.54,0.92,0.69,0.69,1.31,1.46,1.54,1.62,2.08,1.46,1.15,1.92,0.92,0.77,1.38,4.95,5.63,Pure,Immature,3,Male,Profundal,3262.34796
TI130233,Piscivore,109,11,1.38,0.85,0.69,0.85,0.69,0.69,1.23,1.23,1.54,1.62,2.15,1.54,1.15,1.92,0.77,1,1.38,4.71,5.85,Pure,Immature,3,Female,Profundal,3881.82048
TI130236,Piscivore,352,13,6.54,1,1.15,1.77,1.46,1.85,3.15,3.31,3.23,3.69,5.38,2.77,2.92,5.54,1.54,1.62,3.54,11.37,12.35,Pure,Immature,6,Female,Profundal,5079.38726
TI130237,Piscivore,304,13,3.54,1,1.15,1.46,1.23,1.54,2.38,2.15,2.54,3,3.85,2.31,2.08,4,1.23,1.15,2.31,10.81,13.17,Pure,Mature,13,Male,Profundal,4539.44909
TI130243,Piscivore,119,12,1.23,0.92,0.62,1,0.77,0.85,1.54,1.77,1.69,1.69,2.38,1.69,1.31,2.54,0.69,0.62,1.08,5.37,6.71,Pure,Immature,5,Female,Profundal,4562.72068
TI130288,Piscivore,353,11,3.85,0.85,0.92,1.31,1.15,1.31,2.46,2.31,2.08,2.31,3.62,1.92,1.69,3.77,1.15,1.15,2.08,12.43,13.28,Pure,Mature,9,Female,Profundal,4903.7489
TI130289,Piscivore,288,14,3.38,1.08,0.92,1.31,1.31,1.46,1.85,2.23,2.92,2.77,3.23,2.08,1.85,3.31,0.92,0.77,1.62,9.37,10.79,Pure,Mature,7,Male,Profundal,4228.41958
TI130317,Piscivore,342,13,6,1,1.46,2,1.92,2.08,3.15,3.15,3.23,3.69,5.15,2.77,2.77,5.77,1.69,1.15,2.92,10.27,12.66,Pure,Mature,7,Male,Profundal,4799.79775
TI130324,Piscivore,247,14,2.69,1.08,1,1.31,1.15,1.15,2.38,2.15,2.46,2.62,3.46,2.31,2.23,3.54,1.15,1.15,2.08,9.87,11.24,Pure,Mature,9,Female,Profundal,4298.28167
TI130331,Piscivore,193,13,2.08,1,0.85,1,1,1.08,1.62,1.77,2.15,2.31,3.31,1.92,1.77,2.62,1.08,1,1.69,9.15,10.63,Pure,Mature,6,Male,Profundal,4775.23689
TI130351,Piscivore,258,13,2.69,1,0.85,1.08,1.15,1.92,1.92,1.92,2.31,2.46,3.77,2.08,1.92,3.31,1.15,1.23,2.23,10.42,10.58,Pure,Mature,7,Male,Profundal,4318.09211
TI130352,Piscivore,254,13,2.77,1,1,1.54,1.08,1.23,2.08,2.08,2.69,2.38,3.85,2.23,3.54,3.38,1.15,1.08,2.08,10.62,11.8,Pure,Mature,9,Male,Profundal,4487.65761
